"src","tgt"
"<en> No way!","<es> ¡Ni cagando!"
"<en> No way!","<es> ¡Mangos!"
"<en> No way!","<es> ¡Minga!"
"<en> No way!","<es> ¡Ni en pedo!"
"<en> Really?","<es> ¿En serio?"
"<en> Really?","<es> ¿La verdad?"
"<en> Thanks.","<es> ¡Gracias!"
"<en> Thanks.","<es> Gracias."
"<en> Try it.","<es> Pruébalo."
"<en> We try.","<es> Lo procuramos."
"<en> We won.","<es> Ganamos."
"<en> Why me?","<es> ¿Por qué yo?"
"<en> Ask Tom.","<es> Pregúntale a Tom."
"<en> Awesome!","<es> ¡Órale!"
"<en> Be calm.","<es> Mantente en calma."
"<en> Be cool.","<es> Estate tranquilo."
"<en> Be fair.","<es> Sé justo."
"<en> Be kind.","<es> Sean gentiles."
"<en> Be nice.","<es> Sé agradable."
"<en> Beat it.","<es> Pírate."
"<en> Call me.","<es> Llamame."
"<en> Call me.","<es> Llamadme."
"<en> Call me.","<es> Llámame."
"<en> Call us.","<es> Llámanos."
"<en> Come in.","<es> Entre."
"<en> Come in.","<es> Pase."
"<en> Come in.","<es> ¡Entren!"
"<en> Come on!","<es> ¡Órale!"
"<en> Come on.","<es> Ándale."
"<en> Come on.","<es> ¡Órale!"
"<en> Drop it!","<es> Suéltalo."
"<en> Get Tom.","<es> Agarra a Tom."
"<en> Get out!","<es> Bájate."
"<en> Get out.","<es> Salte."
"<en> Get out.","<es> Sal."
"<en> Get out.","<es> Salí."
"<en> Get out.","<es> Salid."
"<en> Get out.","<es> Salgan."
"<en> Go away!","<es> ¡Vete de aquí!"
"<en> Go away!","<es> ¡Lárgate!"
"<en> Go away!","<es> ¡Salga de aquí!"
"<en> Go away!","<es> ¡Largo!"
"<en> Go away!","<es> ¡Vete ya!"
"<en> Go away!","<es> ¡Órale!"
"<en> Go away!","<es> ¡A la calle!"
"<en> Go away.","<es> ¡Vete de aquí!"
"<en> Go away.","<es> ¡Lárgate!"
"<en> Go away.","<es> ¡Largo!"
"<en> Go away.","<es> ¡Vete ya!"
"<en> Go away.","<es> ¡Órale!"
"<en> Go away.","<es> Lárguese."
"<en> Go away.","<es> Váyase."
"<en> Go home.","<es> Vete a casa."
"<en> Go slow.","<es> Vaya despacio."
"<en> Goodbye!","<es> ¡Hasta luego!"
"<en> Goodbye!","<es> Hasta la vista."
"<en> Goodbye!","<es> ¡Chau!"
"<en> Hang on!","<es> ¡Espera!"
"<en> Hang on!","<es> ¡Espera un momento!"
"<en> Hang on!","<es> ¡Un segundo!"
"<en> Hang on.","<es> Agarra fuertemente."
"<en> He came.","<es> Él vino."
"<en> He quit.","<es> Él renunció."
"<en> Help me!","<es> Ayúdame."
"<en> Help me.","<es> Ayúdame."
"<en> Help me.","<es> Échame una mano."
"<en> Help me.","<es> Ayudame."
"<en> Help us.","<es> Ayúdanos."
"<en> Hit Tom.","<es> Golpea a Tom."
"<en> Hold it!","<es> Espera."
"<en> Hold on.","<es> Resista."
"<en> Hold on.","<es> Resiste."
"<en> Hold on.","<es> Agarra fuertemente."
"<en> Hug Tom.","<es> Abraza a Tom."
"<en> I agree.","<es> Estoy de acuerdo."
"<en> I agree.","<es> De acuerdo."
"<en> I bowed.","<es> Me incliné."
"<en> I moved.","<es> Me he mudado."
"<en> I moved.","<es> Me mudé."
"<en> I moved.","<es> Me trasladé."
"<en> I moved.","<es> Me he trasladado."
"<en> I slept.","<es> Dormí."
"<en> I tried.","<es> Lo intenté."
"<en> I'll go.","<es> Iré."
"<en> I'm Tom.","<es> Soy Tom."
"<en> I'm fat.","<es> Estoy gordo."
"<en> I'm fat.","<es> Soy gorda."
"<en> I'm fit.","<es> Estoy en forma."
"<en> I'm hit!","<es> Estoy afectado."
"<en> I'm old.","<es> Soy viejo."
"<en> I'm shy.","<es> Soy tímido."
"<en> I'm wet.","<es> Estoy mojada."
"<en> It's OK.","<es> Está bien."
"<en> It's me!","<es> Soy yo."
"<en> It's me.","<es> Soy yo."
"<en> Join us.","<es> Únete a nosotros."
"<en> Join us.","<es> Sé parte nuestra."
"<en> Keep it.","<es> Guárdalo."
"<en> Me, too.","<es> Yo, también."
"<en> Open up.","<es> Abre."
"<en> Perfect!","<es> ¡Perfecto!"
"<en> See you.","<es> Nos vemos."
"<en> Show me.","<es> Muéstramelo."
"<en> Show me.","<es> Enséñamelo."
"<en> Show me.","<es> Mostrame."
"<en> Shut up!","<es> ¡Cierra la boca!"
"<en> Shut up!","<es> ¡Cerrá el pico!"
"<en> Skip it.","<es> Sáltatelo."
"<en> So long.","<es> Hasta la vista."
"<en> So long.","<es> Hasta luego."
"<en> Stop it.","<es> Páralo."
"<en> Stop it.","<es> Deténlo."
"<en> Take it.","<es> Cógelo."
"<en> Tell me.","<es> Decime."
"<en> Tom ate.","<es> Tom comió."
"<en> Tom ran.","<es> Tom corrió."
"<en> Tom won.","<es> Tom ganó."
"<en> Wait up.","<es> Espérame despierto."
"<en> Wake up!","<es> ¡Despierta!"
"<en> Wake up!","<es> ¡Despiértate!"
"<en> Wake up!","<es> ¡Despertate!"
"<en> Wake up.","<es> Despierta."
"<en> Wash up.","<es> Lávate las manos."
"<en> We care.","<es> Nos preocupamos."
"<en> We know.","<es> Lo sabemos."
"<en> We lost.","<es> Perdimos."
"<en> Welcome.","<es> Bienvenidos."
"<en> Welcome.","<es> Bienvenidas."
"<en> Who ate?","<es> ¿Quién comió?"
"<en> Who ran?","<es> ¿Quién corría?"
"<en> Who ran?","<es> ¿Quién corrió?"
"<en> Who won?","<es> ¿Quién ganó?"
"<en> Who won?","<es> ¿Quién ha ganado?"
"<en> Why not?","<es> ¿Por qué no?"
"<en> You run.","<es> Corre."
"<en> You won.","<es> Has ganado."
"<en> Am I fat?","<es> ¿Estoy gordo?"
"<en> Ask them.","<es> Preguntales."
"<en> Ask them.","<es> Pregúntales."
"<en> Back off!","<es> Aparta."
"<en> Back off.","<es> Apártate."
"<en> Be a man.","<es> Sé un hombre."
"<en> Be brave.","<es> Sé fuerte."
"<en> Be brief.","<es> Sé breve."
"<en> Be brief.","<es> Sea breve."
"<en> Be brief.","<es> Sean breves."
"<en> Be quiet.","<es> Estate quieto."
"<en> Be still.","<es> No te muevas."
"<en> Call Tom.","<es> ¡Llamalo a Tomás!"
"<en> Call Tom.","<es> ¡Llámalo a Tomás!"
"<en> Call Tom.","<es> ¡Llámenlo a Tomás!"
"<en> Cheer up!","<es> Anímate."
"<en> Cheer up.","<es> Venga."
"<en> Cool off!","<es> ¡Cálmate!"
"<en> Cuff him.","<es> Espósale."
"<en> Don't go.","<es> No te vayas."
"<en> Drive on.","<es> Continúa."
"<en> Find Tom.","<es> Encontralo a Tomás."
"<en> Find Tom.","<es> Encuéntralo a Tomás."
"<en> Find Tom.","<es> Encuéntrelo a Tomás."
"<en> Find Tom.","<es> Encuéntrenlo a Tomás."
"<en> Find Tom.","<es> Encuentre a Tom."
"<en> Find Tom.","<es> Encuentren a Tom."
"<en> Fix this.","<es> Arregla esto."
"<en> Get away!","<es> ¡Vete de aquí!"
"<en> Get away!","<es> ¡Lárgate!"
"<en> Get away!","<es> ¡Largo!"
"<en> Get away!","<es> ¡Vete ya!"
"<en> Get down!","<es> Ponte a ello."
"<en> Get down.","<es> Abajo."
"<en> Get down.","<es> Túmbate."
"<en> Get lost!","<es> ¡Piérdete!"
"<en> Get lost!","<es> ¡Vete de aquí!"
"<en> Get lost!","<es> ¡Lárgate!"
"<en> Get lost!","<es> ¡Largo!"
"<en> Get lost!","<es> ¡Vete ya!"
"<en> Get lost.","<es> Esfúmate."
"<en> Get real!","<es> ¡Despierta!"
"<en> Get real!","<es> ¡Piénsalo bien!"
"<en> Get real.","<es> Abre los ojos."
"<en> Go ahead!","<es> Adelante."
"<en> Go ahead.","<es> Adelante."
"<en> Go on in.","<es> Entre."
"<en> Go on in.","<es> Entra."
"<en> Go on in.","<es> Entren."
"<en> Go on in.","<es> Entrá."
"<en> Go on in.","<es> Entrad."
"<en> Good job!","<es> ¡Buen trabajo!"
"<en> Grab Tom.","<es> Sujeta a Tom."
"<en> Grab him.","<es> Agárralo."
"<en> Have fun.","<es> Diviértanse."
"<en> Have fun.","<es> Pásala bien."
"<en> Have fun.","<es> Pásenla bien."
"<en> He spoke.","<es> Él habló."
"<en> He tries.","<es> Él lo intenta."
"<en> He tries.","<es> Él prueba."
"<en> Help Tom.","<es> Ayuda a Tom."
"<en> Help him.","<es> Ayúdalo."
"<en> Hi, guys.","<es> Hola, ¿qué hay?"
"<en> Hi, guys.","<es> Ey, chavales."
"<en> Hi, guys.","<es> ¿Qué pasa, troncos?"
"<en> Hi, guys.","<es> Buenas."
"<en> Hi, guys.","<es> ¿Qué tal os va?"
"<en> Hi, guys.","<es> Hola por aquí."
"<en> How cute!","<es> ¡Qué encanto!"
"<en> How deep?","<es> ¿Qué tan profundo?"
"<en> How deep?","<es> ¿Cómo de profundo?"
"<en> Humor me.","<es> Hazme el favor."
"<en> Humor me.","<es> Compláceme."
"<en> Hurry up.","<es> ¡Date prisa!"
"<en> Hurry up.","<es> Apresúrate."
"<en> I agreed.","<es> Convine."
"<en> I agreed.","<es> Acepté."
"<en> I agreed.","<es> Accedí."
"<en> I am fat.","<es> Soy gorda."
"<en> I am old.","<es> Estoy viejo."
"<en> I ate it.","<es> Me lo comí."
"<en> I ate it.","<es> Me la comí."
"<en> I can go.","<es> Puedo ir."
"<en> I did OK.","<es> Lo hice bien."
"<en> I did it.","<es> Lo hice."
"<en> I failed.","<es> Fracasé."
"<en> I forgot.","<es> Lo olvidé."
"<en> I get by.","<es> Me las arreglo."
"<en> I get it.","<es> Lo entiendo."
"<en> I got it.","<es> Lo tengo."
"<en> I phoned.","<es> Llamé por teléfono."
"<en> I refuse.","<es> Me niego."
"<en> I resign.","<es> Dimito."
"<en> I resign.","<es> Renuncio."
"<en> I saw it.","<es> Lo vi."
"<en> I smiled.","<es> Sonreí."
"<en> I stayed.","<es> Me quedé."
"<en> I talked.","<es> Hablé."
"<en> I talked.","<es> Hablaba."
"<en> I talked.","<es> Charlé."
"<en> I talked.","<es> Charlaba."
"<en> I use it.","<es> Yo lo uso."
"<en> I waited.","<es> Esperé."
"<en> I'll pay.","<es> Yo pagaré."
"<en> I'm back.","<es> He vuelto."
"<en> I'm back.","<es> Estoy de vuelta."
"<en> I'm bald.","<es> Soy calvo."
"<en> I'm bald.","<es> Estoy calvo."
"<en> I'm calm.","<es> Estoy calmado."
"<en> I'm cool.","<es> Estoy tranquilo."
"<en> I'm done.","<es> He terminado."
"<en> I'm easy.","<es> Soy bastante facilón."
"<en> I'm fair.","<es> Soy justo."
"<en> I'm fine.","<es> Estoy perfectamente."
"<en> I'm free!","<es> ¡Soy libre!"
"<en> I'm free.","<es> Yo soy libre."
"<en> I'm full.","<es> Estoy lleno."
"<en> I'm full.","<es> Estoy llena."
"<en> I'm full.","<es> Ya me llené."
"<en> I'm here.","<es> Estoy aquí."
"<en> I'm home.","<es> Estoy en casa."
"<en> I'm hurt.","<es> Estoy herido."
"<en> I'm late.","<es> Llego tarde."
"<en> I'm lazy.","<es> Soy vago."
"<en> I'm lost.","<es> Estoy perdida."
"<en> I'm mean.","<es> Soy malo."
"<en> I'm next.","<es> Me toca a mí."
"<en> I'm okay.","<es> Estoy perfectamente."
"<en> I'm poor.","<es> Soy pobre."
"<en> I'm rich.","<es> Soy rica."
"<en> I'm rich.","<es> Soy rico."
"<en> I'm safe.","<es> Estoy a salvo."
"<en> I'm sick.","<es> Estoy enferma."
"<en> I'm thin.","<es> Soy delgado."
"<en> I'm tidy.","<es> Estoy limpio."
"<en> I'm warm.","<es> Estoy calentito."
"<en> I'm weak.","<es> Estoy débil."
"<en> I'm wise.","<es> Soy listo."
"<en> I've won.","<es> Gané."
"<en> It helps.","<es> Eso ayuda."
"<en> It hurts.","<es> Duele."
"<en> It works.","<es> Funciona."
"<en> It's Tom.","<es> Es Tom."
"<en> It's fun.","<es> Es divertido."
"<en> It's his.","<es> Es suyo."
"<en> It's new.","<es> Es nuevo."
"<en> It's odd.","<es> Es extraño."
"<en> It's old.","<es> Es viejo."
"<en> It's red.","<es> Es rojo."
"<en> It's sad.","<es> Es triste."
"<en> Keep out!","<es> Prohibido pasar."
"<en> Keep out.","<es> No entrar."
"<en> Kiss Tom.","<es> Besá a Tomás."
"<en> Kiss Tom.","<es> Besa a Tomás."
"<en> Kiss Tom.","<es> Besen a Tomás."
"<en> Leave it.","<es> Déjalo."
"<en> Leave me.","<es> Déjame."
"<en> Leave us.","<es> Déjanos."
"<en> Let's go!","<es> Vamos."
"<en> Let's go!","<es> ¡Órale!"
"<en> Look out!","<es> Cuidado."
"<en> Marry me.","<es> Cásate conmigo."
"<en> May I go?","<es> ¿Puedo ir?"
"<en> Save Tom.","<es> Salva a Tom."
"<en> She came.","<es> Ella vino."
"<en> She died.","<es> Ella murió."
"<en> She runs.","<es> Ella corre."
"<en> Sit down!","<es> ¡Sentate!"
"<en> Sit down.","<es> Siéntate."
"<en> Sit here.","<es> Siéntate aquí."
"<en> Speak up!","<es> ¡Hable más fuerte!"
"<en> Speak up!","<es> Habla más fuerte."
"<en> Speak up!","<es> ¡Habla más alto!"
"<en> Stand by.","<es> Prepárate."
"<en> Stand by.","<es> Un momento."
"<en> Stand up!","<es> ¡Parate!"
"<en> Stand up!","<es> ¡De pie!"
"<en> Stay put.","<es> No te muevas."
"<en> Stop Tom.","<es> Detén a Tom."
"<en> Take Tom.","<es> Llévate a Tom."
"<en> Tell Tom.","<es> Díselo a Tom."
"<en> Terrific!","<es> ¡Genial!"
"<en> Terrific!","<es> ¡Órale!"
"<en> They won.","<es> Ellos ganaron."
"<en> Tom came.","<es> Tom vino."
"<en> Tom died.","<es> Tom ha muerto."
"<en> Tom fell.","<es> Tom se cayó."
"<en> Tom knew.","<es> Tom lo sabía."
"<en> Tom knew.","<es> Tom tenía constancia de ello."
"<en> Tom left.","<es> Tom se fue."
"<en> Tom lied.","<es> Tom mintió."
"<en> Tom lies.","<es> Tomás miente."
"<en> Tom lost.","<es> Tom perdió."
"<en> Tom paid.","<es> Tom pagó."
"<en> Tom quit.","<es> Tom renunció."
"<en> Tom swam.","<es> Tom nadó."
"<en> Tom wept.","<es> Tom lloró."
"<en> Tom's up.","<es> Tom se ha levantado."
"<en> Too late.","<es> Demasiado tarde."
"<en> Trust me.","<es> Confía en mí."
"<en> Try hard.","<es> Inténtalo de veras."
"<en> Try some.","<es> Prueba un poco."
"<en> Try some.","<es> Pruebe un poco."
"<en> Try some.","<es> Prueben un poco."
"<en> Try this.","<es> Prueben esto."
"<en> Try this.","<es> Probá esto."
"<en> Try this.","<es> Prueba esto."
"<en> Use this.","<es> Usa esto."
"<en> Warn Tom.","<es> Avísale a Tom."
"<en> Warn Tom.","<es> Avísele a Tom."
"<en> Warn Tom.","<es> Avísenle a Tom."
"<en> Warn Tom.","<es> Avisale a Tom."
"<en> Watch me.","<es> Mírame."
"<en> Watch me.","<es> Vigílame."
"<en> Watch me.","<es> Obsérvame."
"<en> Watch us.","<es> Obsérvalos."
"<en> Watch us.","<es> Obsérvanos."
"<en> We agree.","<es> Estamos de acuerdo."
"<en> We tried.","<es> Lo intentamos."
"<en> We'll go.","<es> Iremos."
"<en> We're OK.","<es> Estamos bien."
"<en> What for?","<es> ¿Para qué?"
"<en> What fun!","<es> ¡Qué divertido!"
"<en> Who am I?","<es> ¿Quién soy yo?"
"<en> Who came?","<es> ¿Quién vino?"
"<en> Who died?","<es> ¿Quién murió?"
"<en> Who fell?","<es> ¿Quién se calló?"
"<en> Who fell?","<es> ¿Quién se cayó?"
"<en> Who quit?","<es> ¿Quién se ha ido?"
"<en> Who quit?","<es> ¿Quién lo ha dejado?"
"<en> Who swam?","<es> ¿Quién nadó?"
"<en> Who's he?","<es> ¿Quién es él?"
"<en> Write me.","<es> Escríbeme."
"<en> After you.","<es> Después de ti."
"<en> After you.","<es> Tú primero."
"<en> After you.","<es> Usted primero."
"<en> After you.","<es> Después de usted."
"<en> After you.","<es> Después de vosotras."
"<en> Aim. Fire!","<es> Apunta. ¡Fuego!"
"<en> Answer me.","<es> Respóndeme."
"<en> Answer me.","<es> Respondedme."
"<en> Answer me.","<es> Respóndanme."
"<en> Birds fly.","<es> Los pájaros vuelan."
"<en> Bless you.","<es> Jesús."
"<en> Call home!","<es> ¡Llama a casa!"
"<en> Calm down.","<es> Cálmate."
"<en> Calm down.","<es> Tranquilízate."
"<en> Calm down.","<es> Tomátelo con soda."
"<en> Calm down.","<es> Bajá un cambio."
"<en> Can we go?","<es> ¿Podemos ir?"
"<en> Can we go?","<es> ¿Podemos irnos?"
"<en> Can we go?","<es> ¿Podemos marcharnos?"
"<en> Catch Tom.","<es> ¡Atrápelo a Tomás!"
"<en> Catch him.","<es> Captúralo."
"<en> Catch him.","<es> Captúrenlo."
"<en> Catch him.","<es> Atrápenlo."
"<en> Catch him.","<es> Atrápalo."
"<en> Come back.","<es> Vuelve."
"<en> Come here.","<es> Vení."
"<en> Come here.","<es> Ven."
"<en> Come here.","<es> Venid aquí."
"<en> Come home.","<es> Ven a casa."
"<en> Come over.","<es> Venid aquí."
"<en> Come over.","<es> Vente."
"<en> Come over.","<es> Veníos."
"<en> Come over.","<es> Venga aquí."
"<en> Come soon.","<es> Vuelve pronto."
"<en> Do it now.","<es> Hazlo ahora."
"<en> Dogs bark.","<es> Los perros ladran."
"<en> Don't ask.","<es> No preguntes."
"<en> Don't cry.","<es> No llores."
"<en> Don't cry.","<es> ¡No llorés!"
"<en> Don't cry.","<es> ¡No llores!"
"<en> Don't cry.","<es> No lloren."
"<en> Don't lie.","<es> No mintáis."
"<en> Don't run.","<es> No corras."
"<en> Fantastic!","<es> ¡Fantástico!"
"<en> Fantastic!","<es> ¡Es estupendo!"
"<en> Fantastic!","<es> ¡Órale!"
"<en> Feel this.","<es> Tienta esto."
"<en> Feel this.","<es> Tiente esto."
"<en> Feel this.","<es> Tienten esto."
"<en> Feel this.","<es> Tentad esto."
"<en> Feel this.","<es> Tentá esto."
"<en> Follow me.","<es> Sígueme."
"<en> Follow me.","<es> Seguidme."
"<en> Follow us.","<es> Síguenos."
"<en> Forget it.","<es> Déjalo."
"<en> Forget me.","<es> Olvídame."
"<en> Forget me.","<es> Olvídate de mí."
"<en> Forget me.","<es> Olvídenme."
"<en> Forget me.","<es> Olvídense de mí."
"<en> Get ready.","<es> Preparaos."
"<en> Go for it.","<es> Ve a por ello."
"<en> Go for it.","<es> Ve a cogerlo."
"<en> Go get it.","<es> Ve a por ello."
"<en> Go get it.","<es> Vete a por ello."
"<en> Go get it.","<es> Id a por ello."
"<en> Go inside.","<es> Entra."
"<en> Go to bed.","<es> Vete a la cama."
"<en> Grab that.","<es> Cógelo."
"<en> Grab this.","<es> Agarra esto."
"<en> Have some.","<es> Coge alguno."
"<en> Have some.","<es> Toma algo."
"<en> Have some.","<es> Tome alguno."
"<en> He is old.","<es> Él es viejo."
"<en> He is old.","<es> Él es anciano."
"<en> He shaved.","<es> Él se afeitó."
"<en> He smiled.","<es> Sonrió."
"<en> He's a DJ.","<es> Él es DJ."
"<en> He's fast.","<es> Él es veloz."
"<en> He's good.","<es> Él es bueno."
"<en> He's rich.","<es> Él es rico."
"<en> He's rich.","<es> Es rico."
"<en> Here I am.","<es> Acá estoy."
"<en> Hold this.","<es> Sostén esto."
"<en> How awful!","<es> ¡Qué horror!"
"<en> How weird!","<es> ¡Qué raro!"
"<en> How's Tom?","<es> ¿Cómo está Tom?"
"<en> Humor Tom.","<es> Divierte a Tom."
"<en> I am busy.","<es> Estoy ocupada."
"<en> I am full.","<es> Estoy lleno."
"<en> I am full.","<es> Estoy llena."
"<en> I am good.","<es> Soy bueno."
"<en> I am here.","<es> Estoy aquí."
"<en> I am sick.","<es> Estoy enferma."
"<en> I am weak.","<es> Estoy débil."
"<en> I beg you.","<es> Te lo ruego."
"<en> I beg you.","<es> Te lo suplico."
"<en> I can fly.","<es> Puedo volar."
"<en> I can run.","<es> Puedo correr."
"<en> I can run.","<es> Sé correr."
"<en> I can ski.","<es> Sé esquiar."
"<en> I cringed.","<es> Sentí vergüenza."
"<en> I fainted.","<es> Perdí la consciencia."
"<en> I fainted.","<es> Quedé inconsciente."
"<en> I gave up.","<es> Lo dejé."
"<en> I gave up.","<es> Me rendí."
"<en> I gave up.","<es> Tiré la toalla."
"<en> I gave up.","<es> Cedí."
"<en> I get you.","<es> Te entiendo."
"<en> I get you.","<es> Te pillo."
"<en> I get you.","<es> Ya te pillo."
"<en> I got hit.","<es> Me dieron."
"<en> I got hit.","<es> Me alcanzaron."
"<en> I hate it.","<es> Lo odio."
"<en> I hate it.","<es> Me la seca."
"<en> I hate it.","<es> Me la baja."
"<en> I hit Tom.","<es> Golpeo a Tom."
"<en> I hope so.","<es> Eso espero."
"<en> I knew it.","<es> Lo sabía."
"<en> I laughed.","<es> Me reí."
"<en> I like it.","<es> Me gusta."
"<en> I love it!","<es> ¡Lo adoro!"
"<en> I love it.","<es> Me encanta."
"<en> I mean it!","<es> Hablo en serio."
"<en> I mean it.","<es> Lo digo en serio."
"<en> I mean it.","<es> Hablo en serio."
"<en> I miss it.","<es> Lo echo en falta."
"<en> I miss it.","<es> Lo echo de menos."
"<en> I miss it.","<es> Lo añoro."
"<en> I need it.","<es> Lo necesito."
"<en> I saw Tom.","<es> Vi a Tom."
"<en> I saw him.","<es> Le vi."
"<en> I saw him.","<es> Lo vi."
"<en> I saw one.","<es> Vi uno."
"<en> I saw one.","<es> Vi a uno."
"<en> I saw one.","<es> Veía a uno."
"<en> I saw you.","<es> Te vi."
"<en> I saw you.","<es> Te he visto."
"<en> I see Tom.","<es> Veo a Tom."
"<en> I tripped.","<es> Me tropecé."
"<en> I'll cook.","<es> Yo cocinaré."
"<en> I'll cook.","<es> Yo guisaré."
"<en> I'll live.","<es> Viviré."
"<en> I'll sing.","<es> Cantaré."
"<en> I'll stop.","<es> Pararé."
"<en> I'll stop.","<es> Lo dejaré."
"<en> I'll wait.","<es> Esperaré."
"<en> I'll wait.","<es> Aguardaré."
"<en> I'll walk.","<es> Caminaré."
"<en> I'll walk.","<es> Andaré."
"<en> I'll work.","<es> Voy a trabajar."
"<en> I'm a man.","<es> Soy un hombre."
"<en> I'm a pro.","<es> Soy un pro."
"<en> I'm alone.","<es> Estoy solo."
"<en> I'm alone.","<es> Estoy sola."
"<en> I'm alone.","<es> Yo estoy solo."
"<en> I'm alone.","<es> Yo estoy sola."
"<en> I'm angry.","<es> Estoy enojado."
"<en> I'm angry.","<es> Estoy enojada."
"<en> I'm awake.","<es> Estoy despierto."
"<en> I'm blind.","<es> Soy ciega."
"<en> I'm broke.","<es> Estoy sin dinero."
"<en> I'm broke.","<es> Estoy quebrado."
"<en> I'm broke.","<es> Estoy sin blanca."
"<en> I'm broke.","<es> No tengo blanca."
"<en> I'm crazy.","<es> Estoy loco."
"<en> I'm drunk.","<es> Estoy borracho."
"<en> I'm drunk.","<es> Estoy tomada."
"<en> I'm drunk.","<es> Estoy prendida."
"<en> I'm dying.","<es> Me estoy muriendo."
"<en> I'm first.","<es> Soy el primero."
"<en> I'm first.","<es> Voy el primero."
"<en> I'm first.","<es> Me toca primero."
"<en> I'm first.","<es> Yo voy primero."
"<en> I'm happy.","<es> Soy feliz."
"<en> I'm happy.","<es> Estoy feliz."
"<en> I'm loved.","<es> Soy amado."
"<en> I'm loved.","<es> Soy amada."
"<en> I'm obese.","<es> Soy obeso."
"<en> I'm ready.","<es> Estoy listo."
"<en> I'm sorry.","<es> Lo siento."
"<en> I'm tired.","<es> Yo estoy cansado."
"<en> I'm tired.","<es> Yo estoy cansada."
"<en> I'm yours.","<es> Soy tuyo."
"<en> I'm yours.","<es> Soy tuya."
"<en> I'm yours.","<es> Soy suyo."
"<en> I've lost.","<es> He perdido."
"<en> Ignore it.","<es> Ólvidalo."
"<en> Ignore it.","<es> No hagas caso."
"<en> Is Tom OK?","<es> ¿Está bien Tom?"
"<en> Is Tom in?","<es> ¿Está Tom?"
"<en> Is it bad?","<es> ¿Es grave?"
"<en> Is it bad?","<es> ¿Es malo?"
"<en> Is it far?","<es> ¿Está lejos?"
"<en> Is it you?","<es> ¿Eres tú?"
"<en> It burned.","<es> Se quemó."
"<en> It failed.","<es> No lo consiguió."
"<en> It failed.","<es> Falló."
"<en> It failed.","<es> Fracasó."
"<en> It is new.","<es> Es nuevo."
"<en> It rained.","<es> Llovió."
"<en> It snowed.","<es> Nevó."
"<en> It stinks.","<es> Apesta."
"<en> It worked.","<es> Funcionó."
"<en> It's 3:10.","<es> Son las tres y diez."
"<en> It's 8:30.","<es> Son las 8:30."
"<en> It's a TV.","<es> Es un televisor."
"<en> It's cold.","<es> Hace frío."
"<en> It's cold.","<es> Está frío."
"<en> It's cool.","<es> Está frío."
"<en> It's cool.","<es> Está fresco."
"<en> It's dark.","<es> Está oscuro."
"<en> It's done!","<es> ¡Está listo!"
"<en> It's fine.","<es> Está perfecto."
"<en> It's good.","<es> Está bien."
"<en> It's good.","<es> Es bueno."
"<en> It's here.","<es> Está aquí."
"<en> It's hers.","<es> Es de ella."
"<en> It's late.","<es> Es tarde."
"<en> It's mine.","<es> Es mío."
"<en> It's mine.","<es> Es mía."
"<en> It's nice.","<es> Es agradable."
